Sr.No,Scraped_Date,UID,URL,Product_Name,Description,Brand,Manufacturer,Category,SubCategory,Price,MRP,Discount,Rating,Review_Count,seo_url,url1,url2,url3,url4,url5,url6,url7,url8, 
0,19/06.,B08RWRG8JW,https://www.amazon.in/Pigeon-Stovekraft-14332-Induction-Aluminium/dp/B08RWRG8JW,Pigeon by Stovekraft Non-Induction Base Aluminium Outer Lid Pressure Cooker Liters,Pressure Cooker Litre is Made from High Grade Vargin Aluminium Conforming to IS The main features of Cooker Litre are Ergonomic User Friendly Metallic Safety Sturdy Precision Weight Valve This Pressure Cooker Litre is ISI Certified Pressure Cooker The Pressure Cooker is packed dismantled and the User need to assemble it One litre Pressure Cooker and User Manual 5 Years warranty from the Manufacturer on manufacturing defects,Pigeon,"Stovekraft Limited , 81/1 Harohalli Industrial Area Kanakapura Taluk Bangalore Kanakapura, Bengaluru, Karnataka 562112. For any issues or concerns kindly contact at +91 63649 14202 or whats app +91 63649 14202 or mail to customercare@stovekraft.com",Home & Kitchen,Cookware,1399.0,2095,33%,3.8,21478,pigeon-by-stovekraft-non-induction-base-aluminium-outer-lid-pressure-cooker-liters,https://m.media-amazon.com/images/I/51OmjkE8TML.jpg,https://m.media-amazon.com/images/I/617zgjCHfmL.jpg,https://m.media-amazon.com/images/I/61xVmPAGEBL.jpg,https://m.media-amazon.com/images/I/51aLDkd23KL.jpg,https://m.media-amazon.com/images/I/51YtHocwaXL.jpg,https://m.media-amazon.com/images/I/41w8sYFzH3L.jpg, , , 
1,19/06.,B00QWQ0TCU,https://www.amazon.in/Prestige-Omega-Deluxe-Granite-280mm/dp/B00QWQ0TCU,Prestige Omega Deluxe Granite Dosa 280 Nonstick Aluminium,Non-stick Tawa Base Induction Base thickness Included 1 Lid Included Easy Grip handle 2 Included in Manufacturing defects will be covered in the Remaining things have been mentioned in the user Not included in Mentioned in the manual For any please Durable Granite finish Superior Non stick surface Dishwasher safe Metal spoon friendly Induction and Gas stove compatible Coating of 5 Granite Finish,Prestige,2 Years Warranty(Customer Care No-080-46824000. E-MAIL: Customercare@ttkprestige.com),Home & Kitchen,Cookware,1165.0,1320,12%,4.2,16217,prestige-omega-deluxe-granite-dosa-280-nonstick-aluminium,https://m.media-amazon.com/images/I/61Kh1vlRueL.jpg,https://m.media-amazon.com/images/I/719zx6YjuuL.jpg,https://m.media-amazon.com/images/I/61Mq3UT39RL.jpg,https://m.media-amazon.com/images/I/61ItVkRPIuL.jpg,https://m.media-amazon.com/images/I/31MGCZ-LSXL.jpg, , , , 
2,19/06.,B08C5P2NPG,https://www.amazon.in/Hawkins-Stainless-Induction-Compatible-SSTV24/dp/B08C5P2NPG,Hawkins 24 cm Triply Stainless Steel Tawa with Stainless Steel Induction Silver,food-grade Tri-Ply Stainless Steel Hawkins Tri-Ply Stainless Steel Cookware retains the advantages of cooking on stainless steel surfaces while eliminating the disadvantages of sticking and burning that come with normal stainless steel Hawkins Tri-Ply Stainless Steel Cookware is made of three layers The Cooking Surface is made of AISI food grade stainless steel that is extremely durable and non-reactive to most It does not pit or corrode The Core is made of heavy gauge aluminium which spreads heat evenly and prevents hot spots The Base and Outer Surface is made of AISI 430 grade magnetic works well on electric and induction cooktops,Hawkins,5 years,Home & Kitchen,Cookware,1147.0,1225,6%,3.7,2022,hawkins-24-cm-triply-stainless-steel-tawa-with-stainless-steel-induction-silver,https://m.media-amazon.com/images/I/51D984vu3kL.jpg,https://m.media-amazon.com/images/I/81Pz5DbB10L.jpg,https://m.media-amazon.com/images/I/71sAXnnid3L.jpg,https://m.media-amazon.com/images/I/81JLOg1GBdL.jpg,https://m.media-amazon.com/images/I/51HWdxx7guL.jpg,https://m.media-amazon.com/images/I/61yMhGlMcPL.jpg, , , 
3,19/06.,B09BLFGZHZ,https://www.amazon.in/Hawkins-Stainless-Induction-Saucepan-SST20G/dp/B09BLFGZHZ,Hawkins 2 Litre Stainless Steel Tea Pan with Glass Induction Sauce Chai Silver 2 Liter,Superior Food-Grade Non-magnetic Stainless Steel body mm Extra Thick Sandwich bottom - Heats evenly Magnetic Steel base - Works on Induction Gas Electric Spout - For no-drip pouring stay-cool handle - Comfortable to hold Ideal for making boiling milk cooking instant noodles and reheating food,Hawkins,"Hawkins, Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302, 8828826884",Home & Kitchen,Cookware,1305.0,1440,9%,4.5,9387,hawkins-2-litre-stainless-steel-tea-pan-with-glass-induction-sauce-chai-silver-2-liter,https://m.media-amazon.com/images/I/61cKe2V-rQL.jpg,https://m.media-amazon.com/images/I/51dxZYad1NL.jpg,https://m.media-amazon.com/images/I/71HMdkyqCsL.jpg,https://m.media-amazon.com/images/I/616OaQ1bVlL.jpg,https://m.media-amazon.com/images/I/41ztUfDD7FL.jpg,https://m.media-amazon.com/images/I/618Fwja5UQL.jpg, , , 
4,19/06.,B0CJ2NJKCG,https://www.amazon.in/Hawkins-Triply-Stainless-Pressure-HSST25/dp/B0CJ2NJKCG,Hawkins Litre Triply Stainless Steel Pressure Inner Lid Silver,Ideal for 2 or 4 persons 3 mm Extra-Thick Triply Stainless Steel Uniformly heats base and sides - Food and spices do not burn Needs less oil Wider Mouth - For easy stirring better visibility Superior food-grade Stainless Steel Inside - more durable hygienic,Hawkins,"Hawkins Cookers Limited, F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India, Contact: +91-22-2218 6607, enquiry@hawkinscookers.com",Home & Kitchen,Cookware,2835.0,3025,6%,4.4,2067,hawkins-litre-triply-stainless-steel-pressure-inner-lid-silver,https://m.media-amazon.com/images/I/4194ArLP5eL.jpg,https://m.media-amazon.com/images/I/71vxuukCf4L.jpg,https://m.media-amazon.com/images/I/41fraHcYyRL.jpg,https://m.media-amazon.com/images/I/71Y6dPgkQLL.jpg,https://m.media-amazon.com/images/I/71z5W84zERL.jpg,https://m.media-amazon.com/images/I/71qmrXFwFhL.jpg,https://m.media-amazon.com/images/I/713Zd-3eSjL.jpg, , 
5,19/06.,B07PXH9VS2,https://www.amazon.in/Cello-Non-Stick-Cavity-Single-Stainless/dp/B07PXH9VS2,CELLO Non-Stick 12 Cavity Appam Patra Single Handle with Stainless Steel Lid,Superior american heritage dupont non stick coating for healthy cooking Ergonomic sturdy bakelite handles allows smooth handling Handle Made Of Stainless Steel With Backelite Powder For Safety Of Hands Dishwasher No The specialty of the non-stick coating of our appam maker is that it allows you to make appams with less oil and prevents the content from sticking to the bottom Appam patra lets you hold and use it in an easy manner these handles help you work in a more efficient which helps to save time and work properly Appam Pan is lighter in also steel is an excellent heat conductor and it also makes the appam patra odorless,CELLO,CLO_12CAVITY_APPMPATRA_SSLID_SH,Home & Kitchen,Cookware,549.0,1200,54%,4.2,5086,cello-non-stick-12-cavity-appam-patra-single-handle-with-stainless-steel-lid,https://m.media-amazon.com/images/I/3107gluOvlL.jpg,https://m.media-amazon.com/images/I/71p0gmUp4XL.jpg,https://m.media-amazon.com/images/I/71o2mdLK2UL.jpg,https://m.media-amazon.com/images/I/61Q9hwPXkqL.jpg,https://m.media-amazon.com/images/I/31Lw8Q6e3YL.jpg,https://m.media-amazon.com/images/I/71Rgx36nruL.jpg, , , 
6,19/06.,B0G673LJ8S,https://www.amazon.in/Triply-Stainless-Steel-Langdi-Tope/dp/B0G673LJ8S,Triply Stainless Steel Langdi Tope - 20 cm litres Multipurpose Stainless Steel Extra Deep Shallow Tope Induction Friendly for Every Day Use,PREMIUM TRIPLY Made with three layers of stainless steel for superior heat and efficient cooking performance on all cooktops MULTIPURPOSE EXTRA DEEP Langdi tope with wide design and perfect for cooking and various Indian dishes UNIVERSAL Induction-friendly base works seamlessly on all cooktops including and halogen for versatile everyday use DIMENSIONS AND Measures 20 cm diameter with polished stainless steel lightweight and easy to handle for convenient cooking and storage EASY Hand wash recommended to preserve the polished finish and triply ensuring long-lasting performance and pristine appearance,Generic,Generic,Home & Kitchen,Cookware,895.0,2000,55%,4.5,43,triply-stainless-steel-langdi-tope-20-cm-litres-multipurpose-stainless-steel-extra-deep-shallow-tope-induction-friendly-for-every-day-use,https://m.media-amazon.com/images/I/41ZWES1fzjL.jpg,https://m.media-amazon.com/images/I/61Wbx5jQzbL.jpg,https://m.media-amazon.com/images/I/41WreCEXngL.jpg,https://m.media-amazon.com/images/I/41CSwdAoGzL.jpg,https://m.media-amazon.com/images/I/610ow9VmLDL.jpg, , , , 
7,19/06.,B0GGC33JCG,https://www.amazon.in/Vinod-Casa-Signature-Ceramic-Cookware/dp/B0GGC33JCG,Vinod Di Casa Signature Ceramic Non Stick Cookware Set - 4 pcs 24 cm Kadai and Frying 27 cm Dosa Tawa Soft Touch Wooden Handle Less Oil Healthy Cooking Induction Compatible Toxin Free,Crafted with advanced ceramic this ceramic cookware set is designed as a complete kitchen It delivers smooth heat flow and dependable elevating everyday Indian cooking with confidence and Engineered using toxin-free ceramic this ceramic non stick cookware allows food to release effortlessly with minimal Enjoy healthier meals that preserve and tradition without compromising Thoughtfully curated as a nonstick cookware set it includes a ceramic frying and Dosa This balanced cookware set combo supports daily and gravy cooking with Built for Indian the ceramic kadai for cooking offers and Ideal for and it blends modern durability with classic cooking This refined non stick pan set brings together functionality and The balanced weight and ergonomic handles make everyday cooking supporting long hours at the stove without strain or The smooth ceramic surface of this non stick cookware resists staining and food Gentle hand washing keeps the shine making daily maintenance effortless and preserving long-term Designed for modern this cookware set is compatible with induction and gas The sturdy base ensures stability and efficient adapting seamlessly to evolving kitchen Backed by quality this non stick cookware set combo offer reflects lasting With dependable construction and 1 year warranty this kadai set for cooking brings peace of mind to every,Vinod,5 Year Warranty,Home & Kitchen,Cookware,4099.0,4980,18%,4.1,91,vinod-di-casa-signature-ceramic-non-stick-cookware-set-4-pcs-24-cm-kadai-and-frying-27-cm-dosa-tawa-soft-touch-wooden-handle-less-oil-healthy-cooking-induction-compatible-toxin-free,https://m.media-amazon.com/images/I/41tpcV-i59L.jpg,https://m.media-amazon.com/images/I/61V8opydpHL.jpg,https://m.media-amazon.com/images/I/614Nw5YrLWL.jpg,https://m.media-amazon.com/images/I/31+1qm19awL.jpg,https://m.media-amazon.com/images/I/61qm1NNW8zL.jpg,https://m.media-amazon.com/images/I/61bbjGbh6dL.jpg,https://m.media-amazon.com/images/I/61mkUlGL2oL.jpg, , 
8,19/06.,B00EVQZIVU,https://www.amazon.in/Hawkins-Futura-Non-Stick-Kadhai-Deep-Fry/dp/B00EVQZIVU,Hawkins Futura Litre Deep Fry Non Stick Round Bottom Black,PFOA Free Non-stick coating locked into tough Hard Anodised Aluminium - lasts longer The Pan is ideal for and stir-frying foods using minimal quantities of It can also be used for deep-frying and for cooking curries and sauces It is offered with comfortable plastic handles which are permanently riveted to the The handles are carefully designed to provide greater comfort and particularly when handling heavy loads or hot oil The Pan has a round bottom for greater convenience during stir-frying Suitable for use on domestic gas and kerosene stoves,Hawkins,2 year manufacturer,Home & Kitchen,Cookware,1290.0,1200,0,4.4,5175,hawkins-futura-litre-deep-fry-non-stick-round-bottom-black,https://m.media-amazon.com/images/I/61gOmRSKxHL.jpg,https://m.media-amazon.com/images/I/61T7PMKoY8L.jpg,https://m.media-amazon.com/images/I/61Rfe+75dzL.SS125_PKplay-button-mb-image-grid-small_.jpg,https://m.media-amazon.com/images/I/61hUlTPlbcL.jpg,https://m.media-amazon.com/images/I/51G-eUeE7eS.jpg, , , , 
9,19/06.,B00SX2YZMG,https://www.amazon.in/Hawkins-CL20-Classic-Pressure-Cooker/dp/B00SX2YZMG,Hawkins Classic 2 Litre Pressure Cooker Straight Body Gas Compatible Ideal for persons ISI Certified 5 Year Guarantee Silver,Ideal for 2 or 3 Persons Made from pure virgin exterior mirror polished Base thickness to mm Super-fast cooking Improved pressure regulator saves more fuel Inside-fitting safety lid will not open until pressure falls,Hawkins,"Hawkins Cookers Limited, F 101, Maker Tower, Cuffe Parade, Mumbai 400 005, India, Contact: +91-22-2444 0807, enquiry@hawkinscookers.com",Home & Kitchen,Cookware,1282.0,1350,5%,4.2,21933,hawkins-classic-2-litre-pressure-cooker-straight-body-gas-compatible-ideal-for-persons-isi-certified-5-year-guarantee-silver,https://m.media-amazon.com/images/I/71nDTGjs9VS.jpg,https://m.media-amazon.com/images/I/51z8bjUc4kL.jpg,https://m.media-amazon.com/images/I/41cYVUiG3LL.jpg,https://m.media-amazon.com/images/I/61oOwcPf3kS.jpg,https://m.media-amazon.com/images/I/61RdnGUfdpL.jpg, , , , 
